Date,EUR= (BID),EURCNH= (BID),HBEHBEA (TRDPRC_1),HBEHBEAOTC (TRDPRC_1),EURCNY= (BID),
04/6/2015,1.1237,6.9736,,,6.9883,
05/6/2015,1.1111,6.959,,,6.9867,
08/6/2015,1.1291,7.0091,,,6.9077,
09/6/2015,1.1283,7.0057,,,7.0073,
10/6/2015,1.1324,7.0286,,,7.0122,
11/6/2015,1.1257,6.9931,,,6.9873,
12/6/2015,1.1268,7.0003,,,6.9623,
15/6/2015,1.1283,7.0093,,,6.9679,
16/6/2015,1.1246,6.9837,,,6.9846,
17/6/2015,1.1335,7.0328,,,6.9937,
18/6/2015,1.1358,7.0458,,,7.0574,
19/6/2015,1.1352,7.0449,,,7.0475,
22/6/2015,1.134,7.0336,,,7.0475,
23/6/2015,1.1169,6.9233,,,6.9218,
24/6/2015,1.1205,6.946,,,6.9454,
25/6/2015,1.1204,6.9496,,,6.9489,
26/6/2015,1.1164,6.929,,,6.9295,
29/6/2015,1.1235,6.9731,,,6.9665,
30/6/2015,1.1135,6.91,,,6.9032,
01/7/2015,1.1052,6.8562,,,6.8438,
02/7/2015,1.1083,6.8721,,,6.867,
03/7/2015,1.1112,6.8969,,,6.8883,
06/7/2015,1.1055,6.8659,,,6.8545,
07/7/2015,1.101,6.8503,,,6.8371,
08/7/2015,1.1075,6.8915,,,6.8683,
09/7/2015,1.1036,6.8595,,,6.8436,
10/7/2015,1.1162,6.9374,,,6.9208,
13/7/2015,1.1002,6.8373,,,6.8205,
14/7/2015,1.1009,6.8395,,,6.8244,
15/7/2015,1.0947,6.8014,,,6.7881,
16/7/2015,1.0874,6.7554,,,6.7453,
17/7/2015,1.0828,6.7284,,,6.7254,
20/7/2015,1.0825,6.726,,,6.7145,
21/7/2015,1.0936,6.79,,,6.7951,
22/7/2015,1.0933,6.7916,,,6.7794,
23/7/2015,1.0981,6.8218,,,6.8093,
24/7/2015,1.0982,6.8341,,,6.8162,
27/7/2015,1.1091,6.8956,,,6.8776,
28/7/2015,1.1058,6.8753,,,6.8676,
29/7/2015,1.0984,6.8268,,,6.8192,
30/7/2015,1.0931,6.7982,,,6.789,
31/7/2015,1.0987,6.8317,,,6.8201,
03/8/2015,1.0949,6.8097,,,6.7976,
04/8/2015,1.088,6.766,,,6.7591,
05/8/2015,1.0904,6.7801,,,6.7716,
06/8/2015,1.0923,6.7909,,,6.7821,
07/8/2015,1.0965,6.8136,,,6.8076,
10/8/2015,1.1016,6.8463,,,6.8411,
11/8/2015,1.104,7.0508,,,6.9739,
12/8/2015,1.1156,7.174,,,7.1176,
